,id,statuses_count,followers_count,friends_count,favourites_count,listed_count,url,default_profile,default_profile_image,geo_enabled,profile_image_url,profile_use_background_image,profile_background_image_url_https,profile_image_url_https,profile_background_tile,profile_background_image_url,is_translator,follow_request_sent,protected,verified,notifications,description,contributors_enabled,following_x,ff_ratio,age,following_rate,tweet_rate,mobile_ratio,website_ratio,third_ratio,other_ratio,pagerank,eigenvector,bidirectional_links,reputaion,url_ratio,url_unique_ratio,hashtag_ratio,username_ratio,username_unique_ratio,similarity_ratio_1,similarity_ratio_2,tweet_time_sum,tweet_time_mean,tweet_time_max,tweet_time_min,no_tweet,label,label_model
0,3301875373,844,47,716,765,5,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,19,0,0,15.23404255,657.0,1.089802131,9.93902439,0.0,1.0,0.0,0.0,1.2e-06,0.0,0.001347709,0.059569075,0.075,0.005,0.6,1.0,0.1,0.205792053,0.005229357,6262719.0,31470.9497487,2101271.0,9.0,0,fake_users,Fake
1,3169917217,20,20,940,24,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,4,0,0,47.0,754.0,1.24668435,-1.0,-1.0,-1.0,-1.0,-1.0,5.17e-07,0.0,0.003167899,0.019668737,0.45,0.15,0.4,1.0,1.7,0.187691451,0.022913659,17406207.0,916116.157895,7686357.0,20465.0,0,fake_users,Fake
2,2489408846,1060,21,396,948,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,17,0,0,18.85714286,1102.0,0.359346642,15.1884058,0.0,1.0,0.0,0.0,5.9e-07,0.0,0.002427184,0.052873563,0.05,0.005,0.35,1.0,0.115,0.198645322,0.005812375,1591483.0,7997.40201005,436291.0,5.0,0,fake_users,Fake
3,2418101186,69,12,487,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,9,0,0,40.58333333,1145.0,0.425327511,2.555555556,0.0,1.0,0.0,0.0,3.22e-07,0.0,0.001897533,0.024074074,0.173913043,0.028985507,0.25,0.65,0.130434783,0.112093329,0.005481707,33503273.0,492695.191176,15687751.0,16.0,0,fake_users,Fake
4,2500271185,2832,25,672,2508,49,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,19,0,0,26.88,1096.0,0.613138686,18.36842105,0.0,1.0,0.0,0.0,6.39e-07,0.0,0.001470588,0.035460993,0.05,0.01,0.2,1.0,0.065,0.186096609,0.007575156,9306327.0,46765.4623116,5807346.0,14.0,0,fake_users,Fake
5,2242468778,989,20,642,850,18,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,7,0,0,32.1,1252.0,0.512779553,13.38356164,0.0,1.0,0.0,0.0,5.41e-07,0.0,0.003053435,0.028189911,0.085,0.005,0.4,1.0,0.09,0.181264571,0.008680505,1214166.0,6101.33668342,190473.0,13.0,0,fake_users,Fake
6,3204379137,69,18,1054,64,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,22,0,0,58.55555556,753.0,1.399734396,1.916666667,0.0,1.0,0.0,0.0,4.68e-07,0.0,0.002816901,0.016620499,0.072463768,0.043478261,0.5,1.0,0.623188406,0.159417024,0.058558527,18642655.0,274156.691176,3279157.0,8.0,0,fake_users,Fake
7,3199503292,30,14,1082,19,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,6,0,0,77.28571429,755.0,1.433112583,-1.0,-1.0,-1.0,-1.0,-1.0,3.7e-07,0.0,0.0,0.012511171,0.566666667,0.1,0.25,1.0,0.8,0.180466653,0.03241537,17988213.0,620283.206897,5467341.0,16.0,0,fake_users,Fake
8,3323141609,21,27,1063,18,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,23,0,0,39.37037037,704.0,1.509943182,1.0,0.0,1.0,0.0,0.0,6.88e-07,0.0,0.003717472,0.024478694,0.4,0.2,0.3,1.0,1.1,0.183458647,0.030812604,13643589.0,718083.631579,2813779.0,60509.0,0,fake_users,Fake
9,3203249045,27,18,1042,21,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,20,0,0,57.88888889,753.0,1.383798141,1.086956522,0.0,1.0,0.0,0.0,4.68e-07,0.0,0.000949668,0.016806723,0.28,0.12,0.45,1.0,2.0,0.210884354,0.04293826,19857699.0,827404.125,6751987.0,1869.0,0,fake_users,Fake
